,,,,,,,,,,,,,
,,,,,,Fecha de Elaboración,,Versión,,,,,
,,,,,,feb-26,,V1,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Actividad de Riesgo,,,,Evaluación del Riesgo Inherente,,,,Ambiente de Control,,,,
,Ámbito de Riesgo General,Descripción de la Actividad,Descripción de la Situación de Riesgo,Contingencias Asociadas,Frecuencia,Probabilidad,Impacto,Clasificación del Riesgo (Probabilidad x Impacto),Controles Existentes,Política y/o Procedimiento,Áreas Expuestas,Responsables de la actividad de riesgo,
,Relación con Competidores,Acuerdos con la competencia.,Realizar acuerdos con la competencia que puedan afectar o incidir en los precios ofrecidos al público.,"• Colusión (Art. 62 DL No. 211).
• Alteración fraudulenta de precios y de precios de productos de primera necesidad (Art. 285 y 286 CP).",Inusual,1,5,5,Si,• Manual Política de Libre competencia. / • Código de ética,Gerencia General,Gerencia General,
,Manejo de Fondos y Administración del Patrimonio,Rendición de gastos.,"Autorizar rendición de gastos sin respaldo de la licitud del bien o servicio contratado, con posible vinculación a actividades criminales.","• Financiamiento ilegal de partidos o campañas políticas (Art. 30 Ley 19.884).
• Financiamiento del Terrorismo (Art 8 de la Ley N°18.314).
• Financiamiento de agrupaciones militarizadas ilegales (Art. 8  Ley No. 17.798).
• Lavado de activos (Art. 27 Ley No. 19.913).
• Riesgos generales relacionados a los delitos de la Ley No. 20.393.",Ocasional,1,4,4,no,"• Política de rendición de gastos
• Política de Gastos por Viajes y Salidas a Terreno. 
","Gerencia General, Legal, Ventas / Comercial",Legal / Finanzas,
,Manejo de Fondos y Administración del Patrimonio,Obtención de financiamiento.,"Entregar información falsa para la obtención de créditos y/o realizar inversiones financieras ante instituciones no acreditadas o ubicadas en paraísos fiscales, o sin seguir los lineamientos establecidos por la empresa. ","• Lavado de activos (Art. 27 Ley No. 19.913).
• Financiamiento ilegal de partidos o campañas políticas (Art. 30 Ley 19.884).
• Financiamiento del Terrorismo (Art 8 de la Ley N°18.314).
• Financiamiento de agrupaciones militarizadas ilegales (Art. 8  Ley No. 17.798).
• Obtención de créditos proporcionando datos falsos o maliciosamente incompletos (Art. 160 DFL No. 3).",Anual,1,3,3,No,,"Legal, Operaciones /  TI / Ciberseguridad",Finanzas / Legal,
,Manejo de Fondos y Administración del Patrimonio,"Celebración de comodatos, arriendos u otros.","No restituir los activos que fueron dados en comodato, arriendo y/o consignación a la compañía.","• Apropiación indebida (Art. 470 N°1 CP).
• Administración desleal (Art. 470 N°11 CP).",Anual,1,3,3,No,,"Legal, Operaciones /  TI / Ciberseguridad",Finanzas / Legal,
,Manejo de Fondos y Administración del Patrimonio,Procesos de M&A.,Realizar procesos de M&A sin efectuar un due diligence previo. ,"• Cohecho a funcionario público (Art. 250 CP). 
• Corrupción entre particulares (Art. 287 bis y 287 ter CP). 
• Riesgos generales de incumplimiento a la Ley No. 20.393.",Inusual,1,3,3,No,,"Gerencia General, Legal, Ventas / Comercial",Legal,
,Manejo de Fondos y Administración del Patrimonio,Cobro de pólizas de seguro.,"Ejecutar pólizas de seguros con información falsa, incluyendo declarar incidentes falsos u omitir información relevante (e.g., pólizas por robo, incendio, accidente de colaboradores o clientes, etc.).",• Fraude al seguro (Art. 470 N°10 CP).,Anual,1,2,2,No,,"Gerencia General, RRHH / Personas",Legal / RRHH ,
,Manejo de Fondos y Administración del Patrimonio,Pago de deudas y obligaciones,"Disponer o distraer bienes, con el objeto de perjudicar acreedores y/o disminuir el patrimonio de la Empresa","• Riesgos generales en materia de delitos concursales (Arts. 463, 463 bis y 463 ter CP). ",Inusual,1,2,2,No,,"Finanzas, Gerencia General, Legal",Gerencia General,
,Gestión Tributaria,Importación de bienes.,"Trabajadores de la Compañía adquieren bienes que deben ser importados, sin pagar los tributos respectivos.",• Contrabando (Art. 168 DL No. 30).,Mensual,1,3,3,No,,"Finanzas, Gerencia General",Finanzas,
,Gestión Tributaria,Pago de patente y otros gravámenes.,"La Compañía no dan cumplimiento al pago de patentes, impuestos y otros gravámenes tributarios.","• Comercio ilegal (Art. 97 N°8 CT).
• Comercio o industria clandestino (Art. 97 N°9 CT). ",Mensual,1,3,3,no,• Procedimiento de pago de gravámenes,"Finanzas, Gerencia General",Finanzas,
,Gestión Tributaria,Emisión de documentos tributarios.,"No verificar la prestación de los servicios contratados, y emitir documentos tributarios de manera maliciosa (e.g., emisión maliciosa de boletas de honorarios ideológicamente falsas).","• Disminución engañosa del monto del impuesto (Art. 97 N°4 CT).
• Omisión maliciosa de declaraciones (Art. 97 N°5 CT).",Mensual,1,3,3,no,• Procedimiento de Ingreso de Boletas de Honorarios.,"Finanzas, Gerencia General",Finanzas,
